id,word_id,teochew_char,teochew_pengim,thai_meaning,english_meaning,sort_order
b0000001-0000-0000-0000-000000000001,a0000001-0000-0000-0000-000000000001,一个人,ig gâi náng,คนเดียว,one person,0
b0000001-0000-0000-0000-000000000002,a0000001-0000-0000-0000-000000000002,二个,nǒ gâi,สองอัน,two (of something),0
b0000001-0000-0000-0000-000000000003,a0000001-0000-0000-0000-000000000003,三碗,san uán,สามชาม,three bowls,0
b0000001-0000-0000-0000-000000000004,a0000001-0000-0000-0000-000000000004,四方,sì hng,สี่ด้าน,four sides,0
b0000001-0000-0000-0000-000000000005,a0000001-0000-0000-0000-000000000005,五块,ngǒu gò,ห้าก้อน,five pieces,0
b0000001-0000-0000-0000-000000000006,a0000001-0000-0000-0000-000000000006,六月,la̍g ghuê̍h,เดือนหก,June / sixth month,0
b0000001-0000-0000-0000-000000000007,a0000001-0000-0000-0000-000000000007,七日,cig ri̍g,เจ็ดวัน,seven days,0
b0000001-0000-0000-0000-000000000008,a0000001-0000-0000-0000-000000000008,八字,boih rī,แปดตัวอักษร,eight characters,0
b0000001-0000-0000-0000-000000000009,a0000001-0000-0000-0000-000000000009,九层塔,gáu zâng tah,กะเพรา,basil (nine-layer pagoda),0
b0000001-0000-0000-0000-000000000010,a0000001-0000-0000-0000-000000000010,十个人,za̍b gâi náng,สิบคน,ten people,0
b0000001-0000-0000-0000-000000000011,a0000001-0000-0000-0000-000000000011,我爱汝,uá àin lé,ฉันรักคุณ,I love you,0
b0000001-0000-0000-0000-000000000012,a0000001-0000-0000-0000-000000000011,我食饭,uá zia̍h būng,ฉันกินข้าว,I eat rice,1
b0000001-0000-0000-0000-000000000013,a0000001-0000-0000-0000-000000000012,汝好,lé hó,คุณดี/สวัสดี,hello (to you),0
b0000001-0000-0000-0000-000000000014,a0000001-0000-0000-0000-000000000012,汝去哪,lé kè dī gò,คุณไปไหน,where are you going?,1
b0000001-0000-0000-0000-000000000015,a0000001-0000-0000-0000-000000000013,伊是好人,i sǐ hó náng,เขาเป็นคนดี,he/she is a good person,0
b0000001-0000-0000-0000-000000000016,a0000001-0000-0000-0000-000000000014,阮厝,uáng cù,บ้านของเรา,our house,0
b0000001-0000-0000-0000-000000000017,a0000001-0000-0000-0000-000000000015,咱食茶,náng zia̍h dê,พวกเรากินชา,let's have tea,0
b0000001-0000-0000-0000-000000000018,a0000001-0000-0000-0000-000000000016,恁好,níng hó,พวกคุณดี,you all are well,0
b0000001-0000-0000-0000-000000000019,a0000001-0000-0000-0000-000000000017,伊人来了,i náng lâi lióu,พวกเขามาแล้ว,they have come,0
b0000001-0000-0000-0000-000000000020,a0000001-0000-0000-0000-000000000018,这是底个,zí sǐ dī gâi,นี่คืออะไร,what is this?,0
b0000001-0000-0000-0000-000000000021,a0000001-0000-0000-0000-000000000019,许个人,hé gâi náng,คนนั้น,that person,0
b0000001-0000-0000-0000-000000000022,a0000001-0000-0000-0000-000000000020,底个物,dī gâi muê̍h,อะไร/สิ่งไหน,what thing?,0
b0000001-0000-0000-0000-000000000023,a0000001-0000-0000-0000-000000000021,阿爸去做工,a bâ kè zò gang,พ่อไปทำงาน,father goes to work,0
b0000001-0000-0000-0000-000000000024,a0000001-0000-0000-0000-000000000022,阿母煮饭,a bhó zé būng,แม่ทำข้าว,mother cooks rice,0
b0000001-0000-0000-0000-000000000025,a0000001-0000-0000-0000-000000000023,阿兄真好,a hian zing hó,พี่ชายดีมาก,elder brother is very good,0
b0000001-0000-0000-0000-000000000026,a0000001-0000-0000-0000-000000000024,阿姐嫁人,a zé gèh náng,พี่สาวแต่งงาน,elder sister got married,0
b0000001-0000-0000-0000-000000000027,a0000001-0000-0000-0000-000000000025,阿弟读书,a dǐ ta̍g ze,น้องชายเรียนหนังสือ,younger brother studies,0
b0000001-0000-0000-0000-000000000028,a0000001-0000-0000-0000-000000000026,阿妹真美,a muǒi zing suí,น้องสาวสวยมาก,younger sister is very beautiful,0
b0000001-0000-0000-0000-000000000029,a0000001-0000-0000-0000-000000000027,阿公讲古,a gong góng góu,ปู่เล่านิทาน,grandfather tells stories,0
b0000001-0000-0000-0000-000000000030,a0000001-0000-0000-0000-000000000028,阿嬷煮粥,a má zé muê̍h,ย่าต้มโจ๊ก,grandmother makes porridge,0
b0000001-0000-0000-0000-000000000031,a0000001-0000-0000-0000-000000000029,丈夫做工,diǒn hu zò gang,สามีทำงาน,husband works,0
b0000001-0000-0000-0000-000000000032,a0000001-0000-0000-0000-000000000030,某煮食,bhóu zé zia̍h,ภรรยาทำอาหาร,wife cooks food,0
b0000001-0000-0000-0000-000000000033,a0000001-0000-0000-0000-000000000031,儿读书,gián ta̍g ze,ลูกชายอ่านหนังสือ,son reads books,0
b0000001-0000-0000-0000-000000000034,a0000001-0000-0000-0000-000000000032,走仔真乖,záo gián zing guai,ลูกสาวน่ารักมาก,daughter is very well-behaved,0
b0000001-0000-0000-0000-000000000035,a0000001-0000-0000-0000-000000000033,孙仔乖,sung gián guai,หลานเรียบร้อย,grandchild is well-behaved,0
b0000001-0000-0000-0000-000000000036,a0000001-0000-0000-0000-000000000034,阿叔来了,a zeg lâi lióu,ลุงมาแล้ว,uncle has arrived,0
