id,teochew_char,teochew_pengim,thai_meaning,english_meaning,mandarin_char,mandarin_pinyin,category,verified,notes,created_at
a0000001-0000-0000-0000-000000000001,一,ig,หนึ่ง,one,一,yī,ตัวเลข,true,"ออกเสียงคล้าย อิก",2024-01-01 00:00:00+00
a0000001-0000-0000-0000-000000000002,二,nǒ,สอง,two,二,èr,ตัวเลข,true,,2024-01-01 00:00:01+00
a0000001-0000-0000-0000-000000000003,三,san,สาม,three,三,sān,ตัวเลข,true,,2024-01-01 00:00:02+00
a0000001-0000-0000-0000-000000000004,四,sì,สี่,four,四,sì,ตัวเลข,true,,2024-01-01 00:00:03+00
a0000001-0000-0000-0000-000000000005,五,ngǒu,ห้า,five,五,wǔ,ตัวเลข,true,,2024-01-01 00:00:04+00
a0000001-0000-0000-0000-000000000006,六,la̍g,หก,six,六,liù,ตัวเลข,true,,2024-01-01 00:00:05+00
a0000001-0000-0000-0000-000000000007,七,cig,เจ็ด,seven,七,qī,ตัวเลข,true,,2024-01-01 00:00:06+00
a0000001-0000-0000-0000-000000000008,八,boih,แปด,eight,八,bā,ตัวเลข,true,,2024-01-01 00:00:07+00
a0000001-0000-0000-0000-000000000009,九,gáu,เก้า,nine,九,jiǔ,ตัวเลข,true,,2024-01-01 00:00:08+00
a0000001-0000-0000-0000-000000000010,十,za̍b,สิบ,ten,十,shí,ตัวเลข,true,,2024-01-01 00:00:09+00
a0000001-0000-0000-0000-000000000011,我,uá,ฉัน,I / me,我,wǒ,คำสรรพนาม,true,,2024-01-01 00:00:10+00
a0000001-0000-0000-0000-000000000012,汝,lé,คุณ,you (singular),你,nǐ,คำสรรพนาม,true,"ใช้ในบริบทไม่เป็นทางการ",2024-01-01 00:00:11+00
a0000001-0000-0000-0000-000000000013,伊,i,เขา/เธอ,he / she,他/她,tā,คำสรรพนาม,true,,2024-01-01 00:00:12+00
a0000001-0000-0000-0000-000000000014,阮,uáng,พวกเรา (ไม่รวมผู้ฟัง),we (exclusive),我们,wǒmen,คำสรรพนาม,true,"ไม่รวมผู้ฟัง",2024-01-01 00:00:13+00
a0000001-0000-0000-0000-000000000015,咱,náng,พวกเรา (รวมผู้ฟัง),we (inclusive),咱们,zánmen,คำสรรพนาม,true,"รวมผู้ฟัง",2024-01-01 00:00:14+00
a0000001-0000-0000-0000-000000000016,恁,níng,พวกคุณ,you (plural),你们,nǐmen,คำสรรพนาม,true,,2024-01-01 00:00:15+00
a0000001-0000-0000-0000-000000000017,伊人,i nâng,พวกเขา,they,他们,tāmen,คำสรรพนาม,true,,2024-01-01 00:00:16+00
a0000001-0000-0000-0000-000000000018,这,zí,นี่,this,这,zhè,คำสรรพนาม,true,,2024-01-01 00:00:17+00
a0000001-0000-0000-0000-000000000019,许,hé,นั่น,that,那,nà,คำสรรพนาม,true,,2024-01-01 00:00:18+00
a0000001-0000-0000-0000-000000000020,底个,dī gâi,อะไร,what,什么,shénme,คำสรรพนาม,true,,2024-01-01 00:00:19+00
a0000001-0000-0000-0000-000000000021,阿爸,a bâ,พ่อ,father,爸爸,bàba,ครอบครัว,true,,2024-01-01 00:00:20+00
a0000001-0000-0000-0000-000000000022,阿母,a bhó,แม่,mother,妈妈,māma,ครอบครัว,true,,2024-01-01 00:00:21+00
a0000001-0000-0000-0000-000000000023,阿兄,a hian,พี่ชาย,elder brother,哥哥,gēge,ครอบครัว,true,,2024-01-01 00:00:22+00
a0000001-0000-0000-0000-000000000024,阿姐,a zé,พี่สาว,elder sister,姐姐,jiějie,ครอบครัว,true,,2024-01-01 00:00:23+00
a0000001-0000-0000-0000-000000000025,阿弟,a dǐ,น้องชาย,younger brother,弟弟,dìdi,ครอบครัว,true,,2024-01-01 00:00:24+00
a0000001-0000-0000-0000-000000000026,阿妹,a muǒi,น้องสาว,younger sister,妹妹,mèimei,ครอบครัว,true,,2024-01-01 00:00:25+00
a0000001-0000-0000-0000-000000000027,阿公,a gong,ปู่/ตา,grandfather,爷爷/外公,yéye/wàigōng,ครอบครัว,true,,2024-01-01 00:00:26+00
a0000001-0000-0000-0000-000000000028,阿嬷,a má,ย่า/ยาย,grandmother,奶奶/外婆,nǎinai/wàipó,ครอบครัว,true,,2024-01-01 00:00:27+00
a0000001-0000-0000-0000-000000000029,丈夫,diǒn hu,สามี,husband,丈夫,zhàngfu,ครอบครัว,true,,2024-01-01 00:00:28+00
a0000001-0000-0000-0000-000000000030,某,bhóu,ภรรยา,wife,妻子,qīzi,ครอบครัว,true,"ภาษาพูดแต้จิ๋ว",2024-01-01 00:00:29+00
a0000001-0000-0000-0000-000000000031,儿,gián,ลูกชาย,son,儿子,érzi,ครอบครัว,true,,2024-01-01 00:00:30+00
a0000001-0000-0000-0000-000000000032,走仔,záo gián,ลูกสาว,daughter,女儿,nǚér,ครอบครัว,true,,2024-01-01 00:00:31+00
a0000001-0000-0000-0000-000000000033,孙,sung,หลาน,grandchild,孙子,sūnzi,ครอบครัว,true,,2024-01-01 00:00:32+00
