no,filename,teochew_char,teochew_pengim,thai_meaning,english_meaning,category,notes,status,recorder,recorded_date,word_id
001,001.m4a,一,ig,หนึ่ง,one,ตัวเลข,ออกเสียงคล้าย อิก,⏳ รอ,,,a0000001-0000-0000-0000-000000000001
002,002.m4a,二,nǒ,สอง,two,ตัวเลข,,⏳ รอ,,,a0000001-0000-0000-0000-000000000002
003,003.m4a,三,san,สาม,three,ตัวเลข,,⏳ รอ,,,a0000001-0000-0000-0000-000000000003
004,004.m4a,四,sì,สี่,four,ตัวเลข,,⏳ รอ,,,a0000001-0000-0000-0000-000000000004
005,005.m4a,五,ngǒu,ห้า,five,ตัวเลข,,⏳ รอ,,,a0000001-0000-0000-0000-000000000005
006,006.m4a,六,la̍g,หก,six,ตัวเลข,,⏳ รอ,,,a0000001-0000-0000-0000-000000000006
007,007.m4a,七,cig,เจ็ด,seven,ตัวเลข,,⏳ รอ,,,a0000001-0000-0000-0000-000000000007
008,008.m4a,八,boih,แปด,eight,ตัวเลข,,⏳ รอ,,,a0000001-0000-0000-0000-000000000008
009,009.m4a,九,gáu,เก้า,nine,ตัวเลข,,⏳ รอ,,,a0000001-0000-0000-0000-000000000009
010,010.m4a,十,za̍b,สิบ,ten,ตัวเลข,,⏳ รอ,,,a0000001-0000-0000-0000-000000000010
011,011.m4a,我,uá,ฉัน,I / me,คำสรรพนาม,,⏳ รอ,,,a0000001-0000-0000-0000-000000000011
012,012.m4a,汝,lé,คุณ,you (singular),คำสรรพนาม,ใช้ในบริบทไม่เป็นทางการ,⏳ รอ,,,a0000001-0000-0000-0000-000000000012
013,013.m4a,伊,i,เขา/เธอ,he / she,คำสรรพนาม,,⏳ รอ,,,a0000001-0000-0000-0000-000000000013
014,014.m4a,阮,uáng,พวกเรา (ไม่รวมผู้ฟัง),we (exclusive),คำสรรพนาม,ไม่รวมผู้ฟัง,⏳ รอ,,,a0000001-0000-0000-0000-000000000014
015,015.m4a,咱,náng,พวกเรา (รวมผู้ฟัง),we (inclusive),คำสรรพนาม,รวมผู้ฟัง,⏳ รอ,,,a0000001-0000-0000-0000-000000000015
016,016.m4a,恁,níng,พวกคุณ,you (plural),คำสรรพนาม,,⏳ รอ,,,a0000001-0000-0000-0000-000000000016
017,017.m4a,伊人,i nâng,พวกเขา,they,คำสรรพนาม,,⏳ รอ,,,a0000001-0000-0000-0000-000000000017
018,018.m4a,这,zí,นี่,this,คำสรรพนาม,,⏳ รอ,,,a0000001-0000-0000-0000-000000000018
019,019.m4a,许,hé,นั่น,that,คำสรรพนาม,,⏳ รอ,,,a0000001-0000-0000-0000-000000000019
020,020.m4a,底个,dī gâi,อะไร,what,คำสรรพนาม,,⏳ รอ,,,a0000001-0000-0000-0000-000000000020
021,021.m4a,阿爸,a bâ,พ่อ,father,ครอบครัว,,⏳ รอ,,,a0000001-0000-0000-0000-000000000021
022,022.m4a,阿母,a bhó,แม่,mother,ครอบครัว,,⏳ รอ,,,a0000001-0000-0000-0000-000000000022
023,023.m4a,阿兄,a hian,พี่ชาย,elder brother,ครอบครัว,,⏳ รอ,,,a0000001-0000-0000-0000-000000000023
024,024.m4a,阿姐,a zé,พี่สาว,elder sister,ครอบครัว,,⏳ รอ,,,a0000001-0000-0000-0000-000000000024
025,025.m4a,阿弟,a dǐ,น้องชาย,younger brother,ครอบครัว,,⏳ รอ,,,a0000001-0000-0000-0000-000000000025
026,026.m4a,阿妹,a muǒi,น้องสาว,younger sister,ครอบครัว,,⏳ รอ,,,a0000001-0000-0000-0000-000000000026
027,027.m4a,阿公,a gong,ปู่/ตา,grandfather,ครอบครัว,,⏳ รอ,,,a0000001-0000-0000-0000-000000000027
028,028.m4a,阿嬷,a má,ย่า/ยาย,grandmother,ครอบครัว,,⏳ รอ,,,a0000001-0000-0000-0000-000000000028
029,029.m4a,丈夫,diǒn hu,สามี,husband,ครอบครัว,,⏳ รอ,,,a0000001-0000-0000-0000-000000000029
030,030.m4a,某,bhóu,ภรรยา,wife,ครอบครัว,ภาษาพูดแต้จิ๋ว,⏳ รอ,,,a0000001-0000-0000-0000-000000000030
031,031.m4a,儿,gián,ลูกชาย,son,ครอบครัว,,⏳ รอ,,,a0000001-0000-0000-0000-000000000031
032,032.m4a,走仔,záo gián,ลูกสาว,daughter,ครอบครัว,,⏳ รอ,,,a0000001-0000-0000-0000-000000000032
033,033.m4a,孙,sung,หลาน,grandchild,ครอบครัว,,⏳ รอ,,,a0000001-0000-0000-0000-000000000033
034,034.m4a,阿叔,a zeg,ลุง (น้องชายพ่อ),uncle (father's younger brother),ครอบครัว,,⏳ รอ,,,a0000001-0000-0000-0000-000000000034
035,035.m4a,阿姆,a ḿ,ป้า,aunt,ครอบครัว,,⏳ รอ,,,a0000001-0000-0000-0000-000000000035
036,036.m4a,头,tâo,หัว,head,ร่างกาย,ใช้เป็นคำต่อท้ายได้หลายคำ เช่น 石头 日头,⏳ รอ,,,a0000001-0000-0000-0000-000000000036
037,037.m4a,目,ma̍g,ตา,eye,ร่างกาย,,⏳ รอ,,,a0000001-0000-0000-0000-000000000037
038,038.m4a,耳,hǐn,หู,ear,ร่างกาย,,⏳ รอ,,,a0000001-0000-0000-0000-000000000038
039,039.m4a,鼻,pīn,จมูก,nose,ร่างกาย,,⏳ รอ,,,a0000001-0000-0000-0000-000000000039
040,040.m4a,嘴,cuì,ปาก,mouth,ร่างกาย,,⏳ รอ,,,a0000001-0000-0000-0000-000000000040
041,041.m4a,手,ciú,มือ,hand,ร่างกาย,,⏳ รอ,,,a0000001-0000-0000-0000-000000000041
042,042.m4a,脚,ka,ขา/เท้า,leg / foot,ร่างกาย,,⏳ รอ,,,a0000001-0000-0000-0000-000000000042
